"viagem_id","faturamento","km_rodado","data_inicio","motorista_id","cliente_id"
"1","4106","514","2015-09-01","1","12"
"2","2588","324","2015-09-02","1","7"
"3","4034","505","2015-09-03","1","14"
"4","1390","174","2015-09-04","1","4"
"5","4202","526","2015-09-05","1","14"
"6","1046","131","2015-09-06","1","24"
"7","3467","434","2015-09-07","1","12"
"8","3020","378","2015-09-08","1","4"
"9","3563","446","2015-09-09","1","2"
"10","1078","135","2015-09-10","1","22"
"11","822","103","2015-09-11","1","20"
"12","4274","535","2015-09-12","1","6"
"13","3547","444","2015-09-13","1","14"
"14","2652","332","2015-09-14","1","12"
"15","2085","261","2015-09-15","1","11"
"16","551","69","2015-09-16","1","16"
"17","4618","578","2015-09-17","1","20"
"18","878","110","2015-09-18","1","9"
"19","4722","591","2015-09-19","1","6"
"20","3763","471","2015-09-20","1","3"
"21","4698","588","2015-09-21","1","4"
"22","990","124","2015-09-22","1","22"
"23","2988","374","2015-09-23","1","14"
"24","4682","586","2015-09-24","1","24"
"25","2596","325","2015-09-25","1","4"
"26","4466","559","2015-09-26","1","11"
"27","1629","204","2015-09-27","1","10"
"28","2309","289","2015-09-28","1","10"
"29","2676","335","2015-09-29","1","3"
"30","3395","425","2015-09-30","1","4"
"31","3339","418","2015-10-01","1","24"
"32","2532","317","2015-10-02","1","5"
"33","2548","319","2015-10-03","1","17"
"34","4634","580","2015-10-04","1","1"
"35","3475","435","2015-10-05","1","17"
"36","2468","309","2015-10-06","1","24"
"37","2245","281","2015-10-07","1","21"
"38","2125","266","2015-10-08","1","6"
"39","4362","546","2015-10-09","1","3"
"40","2580","323","2015-10-10","1","19"
"41","631","79","2015-10-11","1","24"
"42","3172","397","2015-10-12","1","12"
"43","2325","291","2015-10-13","1","6"
"44","2708","339","2015-10-14","1","11"
"45","1382","173","2015-10-15","1","20"
"46","1118","140","2015-10-16","1","7"
"47","3923","491","2015-10-17","1","10"
"48","3499","438","2015-10-18","1","23"
"49","3100","388","2015-10-19","1","9"
"50","2964","371","2015-10-20","1","21"
"51","3052","382","2015-10-21","1","2"
"52","1078","135","2015-10-22","1","22"
"53","806","101","2015-10-23","1","12"
"54","3483","436","2015-10-24","1","13"
"55","1070","134","2015-10-25","1","1"
"56","2205","276","2015-10-26","1","9"
"57","2644","331","2015-10-27","1","24"
"58","3963","496","2015-10-28","1","16"
"59","2389","299","2015-10-29","1","23"
"60","1805","226","2015-10-30","1","2"
"61","3499","438","2015-10-31","1","9"
"62","3595","450","2015-11-01","1","13"
"63","3403","426","2015-11-02","1","13"
"64","2165","271","2015-11-03","1","17"
"65","1765","221","2015-11-04","1","9"
"66","3987","499","2015-11-05","1","11"
"67","1006","126","2015-11-06","1","16"
"68","2213","277","2015-11-07","1","7"
"69","2692","337","2015-11-08","1","21"
"70","1542","193","2015-11-09","1","3"
"71","2053","257","2015-11-10","1","22"
"72","3203","401","2015-11-11","1","5"
"73","3219","403","2015-11-12","1","2"
"74","1350","169","2015-11-13","1","21"
"75","2197","275","2015-11-14","1","7"
"76","3555","445","2015-11-15","1","3"
"77","4082","511","2015-11-16","1","22"
"78","2716","340","2015-11-17","1","11"
"79","2740","343","2015-11-18","1","8"
"80","1645","206","2015-11-19","1","10"
"81","1502","188","2015-11-20","1","21"
"82","2668","334","2015-11-21","1","13"
"83","1574","197","2015-11-22","1","4"
"84","3635","455","2015-11-23","1","23"
"85","3619","453","2015-11-24","1","4"
"86","2668","334","2015-11-25","1","2"
"87","4026","504","2015-11-26","1","18"
"88","2700","338","2015-11-27","1","23"
"89","3315","415","2015-11-28","1","12"
"90","2780","348","2015-11-29","1","1"
"91","511","64","2015-11-30","1","10"
"92","2788","349","2015-12-01","1","3"
"93","4402","551","2015-12-02","1","20"
"94","4586","574","2015-12-03","1","19"
"95","2133","267","2015-12-04","1","16"
"96","4146","519","2015-12-05","1","9"
"97","2245","281","2015-12-06","1","24"
"98","2277","285","2015-12-07","1","21"
"99","2229","279","2015-12-08","1","17"
"100","2221","278","2015-12-09","1","21"
"101","4722","591","2015-12-10","1","3"
"102","3715","465","2015-12-11","1","16"
"103","1613","202","2015-12-12","1","17"
"104","4258","533","2015-12-13","1","14"
"105","1829","229","2015-12-14","1","24"
"106","1637","205","2015-12-15","1","1"
"107","4418","553","2015-12-16","1","9"
"108","4514","565","2015-12-17","1","7"
"109","2996","375","2015-12-18","1","14"
"110","4282","536","2015-12-19","1","16"
"111","4050","507","2015-12-20","1","12"
"112","3267","409","2015-12-21","1","12"
"113","4730","592","2015-12-22","1","12"
"114","934","117","2015-12-23","1","5"
"115","2444","306","2015-12-24","1","23"
"116","3044","381","2015-12-25","1","18"
"117","1438","180","2015-12-26","1","17"
"118","4570","572","2015-12-27","1","14"
"119","4082","511","2015-12-28","1","14"
"120","3108","389","2015-12-29","1","19"
"121","3203","401","2015-12-30","1","20"
"122","3667","459","2015-12-31","1","13"
"123","2500","313","2016-01-01","1","2"
"124","3259","408","2016-01-02","1","2"
"125","1134","142","2016-01-03","1","3"
"126","3339","418","2016-01-04","1","11"
"127","703","88","2016-01-05","1","19"
"128","3963","496","2016-01-06","1","1"
"129","846","106","2016-01-07","1","14"
"130","1653","207","2016-01-08","1","24"
"131","2157","270","2016-01-09","1","4"
"132","559","70","2016-01-10","1","1"
"133","3211","402","2016-01-11","1","16"
"134","966","121","2016-01-12","1","11"
"135","4298","538","2016-01-13","1","7"
"136","1526","191","2016-01-14","1","9"
"137","982","123","2016-01-15","1","20"
"138","2061","258","2016-01-16","1","6"
"139","3579","448","2016-01-17","1","16"
"140","3675","460","2016-01-18","1","14"
"141","4186","524","2016-01-19","1","1"
"142","3371","422","2016-01-20","1","23"
"143","2253","282","2016-01-21","1","3"
"144","862","108","2016-01-22","1","2"
"145","1478","185","2016-01-23","1","11"
"146","1294","162","2016-01-24","1","20"
"147","2309","289","2016-01-25","1","2"
"148","3979","498","2016-01-26","1","5"
"149","1238","155","2016-01-27","1","23"
"150","3915","490","2016-01-28","1","21"
"151","2900","363","2016-01-29","1","18"
"152","822","103","2016-01-30","1","14"
"153","1701","213","2016-01-31","1","5"
"154","1582","198","2016-02-01","1","9"
"155","2005","251","2016-02-02","1","2"
"156","623","78","2016-02-03","1","1"
"157","4650","582","2016-02-04","1","7"
"158","4250","532","2016-02-05","1","20"
"159","1206","151","2016-02-06","1","24"
"160","2564","321","2016-02-07","1","4"
"161","2548","319","2016-02-08","1","1"
"162","2492","312","2016-02-09","1","21"
"163","4658","583","2016-02-10","1","18"
"164","2804","351","2016-02-11","1","18"
"165","2381","298","2016-02-12","1","4"
"166","4578","573","2016-02-13","1","5"
"167","3875","485","2016-02-14","1","18"
"168","3939","493","2016-02-15","1","2"
"169","487","61","2016-02-16","1","17"
"170","3124","391","2016-02-17","1","10"
"171","1134","142","2016-02-18","1","20"
"172","4738","593","2016-02-19","1","4"
"173","1158","145","2016-02-20","1","20"
"174","3475","435","2016-02-21","1","9"
"175","4378","548","2016-02-22","1","4"
"176","2732","342","2016-02-23","1","24"
"177","1526","191","2016-02-24","1","22"
"178","3084","386","2016-02-25","1","12"
"179","4578","573","2016-02-26","1","17"
"180","2596","325","2016-02-27","1","20"
"181","1078","135","2016-02-28","1","4"
"182","1605","201","2016-02-29","1","5"
"183","2796","350","2016-03-01","1","10"
"184","551","69","2016-03-02","1","19"
"185","3635","455","2016-03-03","1","2"
"186","3643","456","2016-03-04","1","16"
"187","1230","154","2016-03-05","1","2"
"188","2964","371","2016-03-06","1","24"
"189","2428","304","2016-03-07","1","1"
"190","2548","319","2016-03-08","1","21"
"191","1605","201","2016-03-09","1","17"
"192","3787","474","2016-03-10","1","7"
"193","1621","203","2016-03-11","1","8"
"194","2924","366","2016-03-12","1","4"
"195","4698","588","2016-03-13","1","11"
"196","4050","507","2016-03-14","1","1"
"197","3619","453","2016-03-15","1","7"
"198","2516","315","2016-03-16","1","23"
"199","1390","174","2016-03-17","1","23"
"200","2277","285","2016-03-18","1","14"
"201","1446","181","2016-03-19","1","19"
"202","2868","359","2016-03-20","1","20"
"203","3307","414","2016-03-21","1","10"
"204","3779","473","2016-03-22","1","13"
"205","4538","568","2016-03-23","1","2"
"206","3076","385","2016-03-24","1","6"
"207","2237","280","2016-03-25","1","9"
"208","3243","406","2016-03-26","1","1"
"209","3499","438","2016-03-27","1","8"
"210","2516","315","2016-03-28","1","15"
"211","1054","132","2016-03-29","1","15"
"212","1566","196","2016-03-30","1","6"
"213","3659","458","2016-03-31","1","3"
"214","2373","297","2016-04-01","1","16"
"215","4450","557","2016-04-02","1","12"
"216","2780","348","2016-04-03","1","6"
"217","3387","424","2016-04-04","1","15"
"218","1837","230","2016-04-05","1","11"
"219","4042","506","2016-04-06","1","15"
"220","910","114","2016-04-07","1","3"
"221","607","76","2016-04-08","1","14"
"222","4490","562","2016-04-09","1","22"
"223","4122","516","2016-04-10","1","2"
